DATAFLOW,LAST UPDATE,freq,indic_ur,cities,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BE,2020,11522440,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BE001C,2020,1223364,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BE002C,2020,530014,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BE003C,2020,263687,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BE004C,2020,203314,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BE005C,2020,383700,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BE006C,2020,118916,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BE007C,2020,112125,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BE008C,2020,101625,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BE009C,2020,95922,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BE010C,2020,77136,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BE011C,2020,71732,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BG,2020,6951482,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BG001C,2020,1242568,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BG002C,2020,347851,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BG003C,2020,336216,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BG004C,2020,201779,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BG005C,2020,95086,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BG006C,2020,141231,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BG007C,2020,40620,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BG008C,2020,134726,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BG009C,2020,84985,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BG010C,2020,82240,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BG011C,2020,75442,,
ESTAT:URB_CPOP1(1.0),02/04/26 23:00:00,A,DE1001V,BG012C,2020,72241,,
