distance_km,is_cross_border,type_encoded,capacity,load_factor,passengers_estimated,service_ratio,is_underserved,service_type_encoded,distance_category_encoded,operator_encoded,origin_country_encoded,destination_country_encoded,is_domestic,distance_per_capacity,passengers_per_km
238.64,0,0,500,0.6748357076505617,337,0.674,0,0,2,18,5,5,1,0.47728,1.4121689574254108
256.33,0,0,500,0.6430867849414408,321,0.642,0,0,2,18,5,5,1,0.51266,1.2522919673857917
296.6,0,0,500,0.6823844269050346,341,0.682,0,0,2,18,5,5,1,0.5932000000000001,1.1496965610249494
285.66,0,0,500,0.7261514928204013,363,0.726,0,0,2,18,5,5,1,0.57132,1.2707414408737658
317.1,0,0,500,0.6382923312638332,319,0.638,0,0,2,18,5,5,1,0.6342000000000001,1.0059918006937874
540.61,0,0,500,0.738293152152541,369,0.738,0,0,1,18,5,5,1,1.08122,0.6825622907456391
542.23,0,1,400,0.7789606407753695,311,0.7775,0,1,1,18,5,5,1,1.355575,0.5735573465134721
536.55,0,0,500,0.7883717364576455,394,0.788,0,0,1,18,5,5,1,1.0731,0.7343211257105583
538.56,0,0,500,0.7265262807032524,363,0.726,0,0,1,18,5,5,1,1.0771199999999999,0.6740196078431373
536.38,0,0,500,0.7771280021792982,388,0.776,0,0,1,18,5,5,1,1.07276,0.7233677616615086
405.63,0,0,500,0.6268291153593769,313,0.626,0,0,1,18,5,5,1,0.81126,0.7716391785617435
400.23,0,0,500,0.6267135123214872,313,0.626,0,0,1,18,5,5,1,0.8004600000000001,0.7820503210653874
49.81,0,0,500,0.6620981135783017,331,0.662,0,0,0,20,3,3,1,0.09962,6.645251957438265
53.52,0,0,500,0.5543359877671101,277,0.554,0,0,0,57,3,3,1,0.10704000000000001,5.175635276532137
38.8,0,0,500,0.5637541083743484,281,0.562,0,0,0,57,3,3,1,0.07759999999999999,7.242268041237114
27.9,0,0,500,0.6218856235379514,310,0.62,0,0,0,57,3,3,1,0.055799999999999995,11.111111111111112
19.7,0,0,500,0.5993584439832789,299,0.598,0,0,0,4,3,3,1,0.0394,15.17766497461929
25.21,0,0,500,0.6657123666297637,332,0.664,0,0,0,57,3,3,1,0.05042,13.169377231257437
11.67,0,0,500,0.6045987962239394,302,0.604,0,0,0,57,3,3,1,0.02334,25.878320479862897
53.97,0,0,500,0.5793848149332355,289,0.578,0,0,0,57,3,3,1,0.10794,5.354826755604966
54.13,0,0,500,0.7232824384460778,361,0.722,0,0,0,57,3,3,1,0.10826000000000001,6.669129872529096
60.07,0,0,500,0.6387111849756733,319,0.638,0,0,0,57,3,3,1,0.12014,5.310471117030131
52.01,0,0,500,0.6533764102343962,326,0.652,0,0,0,57,3,3,1,0.10402,6.268025379734667
54.86,0,0,500,0.5787625906893272,289,0.578,0,0,0,57,3,3,1,0.10972,5.267954794021144
14.08,0,0,500,0.6227808637737409,311,0.622,1,0,0,57,3,3,1,0.02816,22.088068181818183
35.08,0,0,500,0.6555461294854933,327,0.654,0,0,0,57,3,3,1,0.07016,9.321550741163056
36.84,0,0,500,0.5924503211288848,296,0.592,0,0,0,57,3,3,1,0.07368000000000001,8.034744842562432
160.49,0,1,400,0.6187849009172836,247,0.6175,0,1,2,23,5,5,1,0.401225,1.5390367001059255
289.09,0,0,500,0.6199680655040598,309,0.618,0,0,2,18,5,5,1,0.5781799999999999,1.0688712857587603
44.6,0,0,500,0.6354153125103362,317,0.634,0,0,0,65,7,7,1,0.0892,7.10762331838565
36.66,0,0,500,0.6199146693885301,309,0.618,0,0,0,65,7,7,1,0.07332,8.428805237315876
68.72,0,0,500,0.7426139092254469,371,0.742,0,0,0,65,7,7,1,0.13744,5.3987194412107105
50.72,0,0,500,0.6493251387631033,324,0.648,0,0,0,65,7,7,1,0.10144,6.38801261829653
