agency_name,route_id,route_type,route_short_name,route_long_name,departure_country,arrival_country,days_of_week,is_night_train,distance_km,co2_per_pkm,emissions_co2,service_type,days_active,is_underserved,rail_modal_share,type_encoded,is_international,log_distance,log_co2,country_encoded
"Železničná Spoločnosť Slovensko, A.s.",107,2,,bratislava-n.mesto-nitra,AT,AT,1111111.0,False,97.31,21.817,2123.012,day,7,0,12.1,0,0,4.588125751378833,3.1275058721634332,4
"Železničná Spoločnosť Slovensko, A.s.",13,2,,budapest-nyugati pu-hamburg-altona,AT,AT,1100000.0,False,258.62,21.817,5642.313,day,2,1,12.1,0,0,5.559219023464848,3.1275058721634332,4
"Železničná Spoločnosť Slovensko, A.s.",97,2,,červená skala-banská bystrica,AT,AT,1111100.0,False,81.61,21.817,1780.485,day,5,0,12.1,0,0,4.414130738574414,3.1275058721634332,4
"Železničná Spoločnosť Slovensko, A.s.",104,2,,margecany-banská bystrica,AT,AT,1111111.0,False,150.43,21.817,3281.931,day,7,0,12.1,0,0,5.020123471968565,3.1275058721634332,4
"Železničná Spoločnosť Slovensko, A.s.",364,2,,košice-banská bystrica,AT,AT,1111111.0,False,180.49,21.817,3937.75,day,7,0,12.1,0,0,5.20120055576831,3.1275058721634332,4
"Železničná Spoločnosť Slovensko, A.s.",73,2,,vrútky-zvolen osob.st.,AT,AT,1111111.0,False,67.25,21.817,1467.193,day,7,0,12.1,0,0,4.223177434065069,3.1275058721634332,4
"Železničná Spoločnosť Slovensko, A.s.",452,2,,budapest-nyugati pu-berlin hbf (tief),AT,AT,1111111.0,False,516.4,21.817,11266.299,day,7,0,12.1,0,0,6.248816269751929,3.1275058721634332,4
"Železničná Spoločnosť Slovensko, A.s.",452,2,,budapest-nyugati pu-berlin hbf (tief),AT,AT,11000.0,False,389.97,21.817,8507.975,day,2,1,12.1,0,0,5.9686308306990385,3.1275058721634332,4
"Železničná Spoločnosť Slovensko, A.s.",14,2,,hamburg-altona-budapest-nyugati pu,AT,AT,1111111.0,False,335.22,21.817,7313.495,day,7,0,12.1,0,0,5.817765707604913,3.1275058721634332,4
"Železničná Spoločnosť Slovensko, A.s.",310,2,,prešov-čierna n.tisou,AT,AT,1111100.0,False,138.22,21.817,3015.546,day,5,0,12.1,0,0,4.936055415740521,3.1275058721634332,4
"Železničná Spoločnosť Slovensko, A.s.",310,2,,prešov-čierna n.tisou,AT,AT,1111111.0,False,121.76,21.817,2656.438,day,7,0,12.1,0,0,4.810231229751535,3.1275058721634332,4
"Železničná Spoločnosť Slovensko, A.s.",117,2,,košice-čierna n.tisou,AT,AT,1111111.0,False,55.69,21.817,1214.989,day,7,0,12.1,0,0,4.037597828336212,3.1275058721634332,4
"Železničná Spoločnosť Slovensko, A.s.",468,2,,budapest-nyugati pu-przemysl gl.,AT,AT,1111111.0,False,730.02,21.817,15926.846,day,7,0,12.1,0,0,6.594440819156628,3.1275058721634332,4
"Železničná Spoločnosť Slovensko, A.s.",309,2,,čierna n.tisou-prešov,AT,AT,1111111.0,False,64.81,21.817,1413.96,day,7,0,12.1,0,0,4.186771802468027,3.1275058721634332,4
