freq,unit,vehicle,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC,BUS_TOT,AT	9.9 	9.9 	9.9 	10.0 	9.1 e	8.9 e	9.2 e	8.9 e	9.5 e	9.5 e
A,PC,BUS_TOT,BE	11.5 be	10.9 e	10.5 e	10.2 e	10.2 e	10.3 e	8.1 e	8.1 e	9.6 e	10.3 e
A,PC,BUS_TOT,BG	15.1 e	14.6 e	14.1 e	13.1 e	12.0 e	13.0 e	8.6 e	8.0 e	10.6 e	8.8 e
A,PC,BUS_TOT,CH	5.8 e	5.9 e	5.9 e	5.9 e	5.9 e	6.1 e	6.3 e	6.4 e	6.3 e	6.3 e
A,PC,BUS_TOT,CY	18.2 e	18.7 e	18.6 e	19.0 e	18.9 e	18.5 e	12.7 e	12.7 e	15.6 e	16.5 e
A,PC,BUS_TOT,CZ	18.8 e	16.3 	15.6 	15.8 	15.5 	14.9 	10.5 	8.5 	10.5 	10.5 
A,PC,BUS_TOT,DE	7.2 	7.4 	7.3 	7.3 	7.2 	7.4 	4.8 	4.9 	6.0 	6.5 
A,PC,BUS_TOT,DK	9.7 e	9.8 e	9.8 e	9.9 e	9.6 e	9.1 e	6.9 e	7.0 e	11.0 e	10.3 e
A,PC,BUS_TOT,EE	14.0 e	15.8 e	18.3 e	17.6 e	17.1 e	17.9 e	9.9 e	8.8 e	12.0 e	14.0 e
A,PC,BUS_TOT,EL	17.7 e	17.5 e	17.1 e	16.6 e	16.4 e	16.0 e	12.7 e	12.3 e	14.4 e	14.6 e
A,PC,BUS_TOT,ES	10.6 	11.9 	10.4 be	7.1 e	7.3 e	7.5 e	5.9 e	7.4 e	8.4 e	8.7 e
A,PC,BUS_TOT,EU27_2020	9.9 be	9.9 e	9.7 be	9.3 e	9.3 e	9.3 e	7.3 e	7.5 e	8.5 e	8.5 e
A,PC,BUS_TOT,EU28	9.3 be	9.3 e	9.0 be	8.7 e	8.6 e	8.9 e	: 	: 	: 	: 
A,PC,BUS_TOT,FI	9.8 	9.7 	10.5 b	10.4 	10.1 	9.9 	9.2 	8.3 	9.4 	9.9 
A,PC,BUS_TOT,FR	5.6 	5.6 	5.6 	5.6 	5.7 	5.7 	4.9 	4.8 	5.0 	5.2 
A,PC,BUS_TOT,HR	11.9 	11.0 	12.3 	13.4 	12.7 	13.4 	9.1 	9.2 	11.6 	12.2 
A,PC,BUS_TOT,HU	21.3 	20.9 e	21.5 e	21.1 e	19.3 e	18.6 e	15.3 e	14.3 e	15.6 e	14.5 e
A,PC,BUS_TOT,IE	14.7 e	13.7 e	13.6 e	14.3 e	15.0 e	14.9 e	12.5 e	13.0 e	15.9 e	17.6 e
A,PC,BUS_TOT,IS	11.4 e	11.4 e	11.4 e	11.4 e	11.4 e	11.4 e	11.4 e	11.4 e	11.4 e	12.9 e
A,PC,BUS_TOT,IT	12.9 	12.3 	11.9 	11.4 	11.7 	11.7 	10.9 	11.3 	12.0 	10.0 e
A,PC,BUS_TOT,LT	10.8 	9.9 	9.1 	8.0 	8.5 	8.4 e	5.1 e	4.5 e	6.0 e	6.8 e
A,PC,BUS_TOT,LU	12.2 e	12.4 e	12.3 e	12.4 e	12.4 e	12.6 e	10.2 e	10.2 e	12.8 e	12.3 e
A,PC,BUS_TOT,LV	17.0 	15.8 	15.1 	14.0 	13.9 	13.7 	9.9 	9.1 	11.7 	11.9 
A,PC,BUS_TOT,ME	2.6 e	2.6 e	2.4 e	2.4 e	2.3 e	2.1 e	0.7 e	0.7 e	1.0 e	0.9 e
A,PC,BUS_TOT,MK	26.5 	24.1 	22.1 	22.2 	23.0 	20.8 	6.4 	5.5 	8.6 	7.5 e
A,PC,BUS_TOT,MT	16.9 e	17.7 e	17.4 e	17.5 e	17.5 e	18.2 e	13.9 e	14.1 e	17.1 e	17.9 e
A,PC,BUS_TOT,NL	2.7 e	3.0 e	3.0 e	2.9 e	3.2 e	3.2 e	2.1 e	2.3 e	2.9 e	2.7 e
A,PC,BUS_TOT,NO	5.4 	5.7 e	5.8 e	6.4 e	6.5 e	6.9 e	4.8 e	4.8 e	5.0 e	5.7 e
A,PC,BUS_TOT,PL	15.5 e	14.6 e	13.7 e	13.0 e	12.2 e	12.5 e	7.5 e	7.8 e	9.0 e	9.4 e
A,PC,BUS_TOT,PT	4.8 e	5.8 e	5.3 e	6.0 e	6.3 e	6.1 e	4.2 e	5.7 e	7.6 e	7.5 e
A,PC,BUS_TOT,RO	16.9 e	17.6 e	17.6 e	17.7 e	17.0 e	16.9 e	14.3 e	13.7 e	13.6 e	14.7 e
A,PC,BUS_TOT,RS	13.0 e	13.6 e	12.5 e	12.3 e	13.9 e	12.9 e	10.0 e	10.6 e	12.3 e	12.0 e
A,PC,BUS_TOT,SE	7.3 e	7.3 e	8.5 e	8.4 e	8.3 e	8.4 e	8.4 e	8.3 e	8.0 e	7.6 e
