feature,rf_importance,xgb_importance
distance_km,0.1624170451922243,0.17272061
train_gco2_pkm,0.0,0.0
plane_gco2_pkm,0.0,0.0
train_co2_kg,0.16174323503383164,0.089223064
plane_co2_kg,0.20057767311125704,0.12342024
co2_savings_kg,0.17284371364054812,0.031620886
savings_percent,0.007844578530496426,0.03751462
co2_ratio_train_plane,0.026626348339899943,0.05675749
is_cross_border,0.0883042408424616,0.20449711
is_outlier_distance,0.003557460789328922,0.0
type_encoded,0.014681155927228143,0.077200025
capacity,0.024587929527154485,0.058606543
origin_country_enc,0.03527499157088141,0.050308738
destination_country_enc,0.019920063533957325,0.024556942
distance_category_enc,0.05153468915953614,0.016311016
operator_enc,0.030086874801194558,0.057262685
